Rank	Movie	Release Date	Theatrical Distributor	MPAA Rating	Gross	Tickets Sold	Gender
30	Gray Matters	2007-02-23	Yari Film Group R…	PG-13	$71,561	10,401	Romantic-Comedy
31	Falling for Grace	2007-07-20	Slowhand Cinema	PG-13	$30,276	4,400	Romantic-Comedy
32	Gringo Wedding	2007-05-04	Self Distributed	R	$26,946	3,916	Romantic-Comedy
33	The Good Night	2007-10-05	Sony Pictures	R	$22,441	3,261	Romantic-Comedy
34	American Fusion	2007-08-17	Wildcat Releasing	PG-13	$16,000	2,325	Romantic-Comedy
1	What Happens in Vegas...	2008-05-09	20th Century Fox	PG-13	$80,277,646	11,180,731	Romantic-Comedy
2	27 Dresses	2008-01-18	20th Century Fox	PG-13	$76,808,654	10,697,584	Romantic-Comedy
3	Forgetting Sarah Marshall	2008-04-18	Universal	R	$63,172,463	8,798,393	Romantic-Comedy
4	Made of Honor	2008-05-02	Sony Pictures	PG-13	$46,012,734	6,408,458	Romantic-Comedy
5	Definitely, Maybe	2008-02-14	Universal	PG-13	$32,241,649	4,490,480	Romantic-Comedy
6	Leatherheads	2008-04-04	Universal	PG-13	$31,373,938	4,369,629	Romantic-Comedy
7	P.S. I Love You	2007-12-21	Warner Bros.	PG-13	$25,794,246	3,592,513	Romantic-Comedy
8	My Best Friend's Girl	2008-09-19	Lionsgate	R	$19,219,250	2,676,776	Romantic-Comedy
9	Ghost Town	2008-09-19	Paramount Pictures	PG-13	$13,367,624	1,861,786	Romantic-Comedy
10	Smart People	2008-04-11	Miramax	R	$9,511,289	1,324,692	Romantic-Comedy
11	Enchanted	2007-11-21	Walt Disney	PG	$7,885,937	1,098,319	Romantic-Comedy
12	Then She Found Me	2008-04-25	ThinkFilm	R	$3,735,717	520,294	Romantic-Comedy
13	Sukkar banat	2008-02-01	Roadside Attractions	PG	$1,060,591	147,714	Romantic-Comedy
14	Bachna Ae Haseeno	2008-08-15	Yash Raj Films	Not Rated	$702,166	97,794	Romantic-Comedy
15	Noah's Arc: Jumping the Broom	2008-10-24	Logo Features	R	$532,878	74,216	Romantic-Comedy
16	Dan in Real Life	2007-10-26	Walt Disney	PG-13	$512,547	71,385	Romantic-Comedy
17	Kismat Konnection	2008-07-18	UTV Communications	Not Rated	$479,759	66,818	Romantic-Comedy
18	Elsa & Fred	2008-06-27	Mitropoulos Films	PG	$189,024	26,326	Romantic-Comedy
19	The Other End of the Line	2008-10-31	MGM	PG-13	$115,504	16,086	Romantic-Comedy
20	The Perfect Holiday	2007-12-12	Yari Film Group R…	PG	$107,193	14,929	Romantic-Comedy
21	I Can't Think Straight	2008-11-21	Regent Releasing	PG-13	$38,589	5,374	Romantic-Comedy
22	Kiss the Bride	2008-04-18	Regent Releasing	R	$32,033	4,461	Romantic-Comedy
23	The Hottie and the Nottie	2008-02-08	Regent Releasing	PG-13	$27,696	3,857	Romantic-Comedy
24	Antarctica	2008-08-29	Regent Releasing	R	$16,312	2,271	Romantic-Comedy
25	David & Layla	2007-07-20	Newroz Films	R	$15,427	2,148	Romantic-Comedy
26	Tru Loved	2008-10-17	Regent Releasing	R	$8,043	1,120	Romantic-Comedy
27	Jack and Jill vs. the World	2008-04-11	Lantern Lane Ente…	PG-13	$1,964	273	Romantic-Comedy
1	The Proposal	2009-06-19	Walt Disney	PG-13	$163,958,031	21,861,071	Romantic-Comedy
2	He's Just Not That Into You	2009-02-06	Warner Bros.	PG-13	$93,953,653	12,527,154	Romantic-Comedy
3	The Ugly Truth	2009-07-24	Sony Pictures	R	$88,915,214	11,855,361	Romantic-Comedy
4	It’s Complicated	2009-12-25	Universal	R	$59,178,840	7,890,512	Romantic-Comedy
5	Ghosts of Girlfriends Past	2009-05-01	Warner Bros.	PG-13	$55,250,026	7,366,670	Romantic-Comedy
6	Confessions of a Shopaholic	2009-02-13	Walt Disney	PG	$44,277,350	5,903,647	Romantic-Comedy
7	All About Steve	2009-09-04	20th Century Fox	PG-13	$33,862,903	4,515,054	Romantic-Comedy
8	(500) Days of Summer	2009-07-17	Fox Searchlight	PG-13	$32,425,665	4,323,422	Romantic-Comedy
9	Did You Hear About the Morg…	2009-12-18	Sony Pictures	PG-13	$25,312,384	3,374,985	Romantic-Comedy
10	New in Town	2009-01-30	Lionsgate	PG	$16,734,283	2,231,237	Romantic-Comedy
11	I Love You, Beth Cooper	2009-07-10	20th Century Fox	PG-13	$14,800,725	1,973,430	Romantic-Comedy
12	My Life in Ruins	2009-06-05	Fox Searchlight	PG-13	$8,677,425	1,156,990	Romantic-Comedy
13	Post Grad	2009-08-21	20th Century Fox	PG-13	$6,382,178	850,957	Romantic-Comedy
14	Whatever Works	2009-06-19	Sony Pictures Cla…	PG-13	$5,306,706	707,560	Romantic-Comedy
15	Easy Virtue	2009-05-22	Sony Pictures Cla…	PG-13	$2,656,784	354,237	Romantic-Comedy
16	Love Aaj Kal	2009-07-31	Eros Entertainment	Not Rated	$2,430,083	324,011	Romantic-Comedy
17	Kambakkht Ishq	2009-07-03	Eros Entertainment	Not Rated	$1,455,739	194,098	Romantic-Comedy
18	Management	2009-05-15	Samuel Goldwyn Films	R	$934,658	124,621	Romantic-Comedy
19	Un baiser s'il vous plaît	2009-03-27	Music Box Films	Not Rated	$534,685	71,291	Romantic-Comedy
20	White On Rice	2009-09-11	Variance Films	PG-13	$67,186	8,958	Romantic-Comedy
21	The Answer Man	2009-07-24	Magnolia Pictures	R	$26,676	3,556	Romantic-Comedy
22	I Hate Valentine's Day	2009-07-03	IFC Films	PG-13	$11,004	1,467	Romantic-Comedy
23	The Bride & The Grooms	2009-04-24	Sumbadhat Product…	Not Rated	$5,995	799	Romantic-Comedy
24	Waiting for Dublin	2009-03-13	Cinema Libre	Not Rated	$5,925	790	Romantic-Comedy
25	Antarctica	2008-08-29	Regent Releasing	R	$5,133	684	Romantic-Comedy
26	Tru Loved	2008-10-17	Regent Releasing	R	$1,149	153	Romantic-Comedy
27	I Can't Think Straight	2008-11-21	Regent Releasing	PG-13	$987	131	Romantic-Comedy
1	Valentine's Day	2010-02-12	Warner Bros.	PG-13	$110,485,654	14,003,251	Romantic-Comedy
2	The Bounty Hunter	2010-03-19	Sony Pictures	PG-13	$67,061,228	8,499,522	Romantic-Comedy
3	It’s Complicated	2009-12-25	Universal	R	$53,556,535	6,787,901	Romantic-Comedy
4	Life as We Know It	2010-10-08	Warner Bros.	PG-13	$52,886,508	6,702,979	Romantic-Comedy
5	The Back-up Plan	2010-04-23	CBS Films	PG-13	$37,490,007	4,751,585	Romantic-Comedy
6	When in Rome	2010-01-29	Walt Disney	PG-13	$32,680,633	4,142,032	Romantic-Comedy
7	She's Out of My League	2010-03-12	Paramount Pictures	R	$32,010,860	4,057,143	Romantic-Comedy
8	The Switch	2010-08-20	Miramax	PG-13	$27,758,465	3,518,183	Romantic-Comedy
9	Leap Year	2010-01-08	Universal	PG	$25,918,920	3,285,034	Romantic-Comedy
10	How Do You Know?	2010-12-17	Sony Pictures	R	$25,040,894	3,173,751	Romantic-Comedy
11	Just Wright	2010-05-14	Fox Searchlight	PG	$21,540,363	2,730,084	Romantic-Comedy
12	Going the Distance	2010-09-03	Warner Bros.	R	$17,804,299	2,256,565	Romantic-Comedy
13	Did You Hear About the Morg…	2009-12-18	Sony Pictures	PG-13	$4,267,703	540,900	Romantic-Comedy
14	Greenberg	2010-03-19	Focus Features	R	$4,234,170	536,650	Romantic-Comedy
15	Flipped	2010-08-06	Warner Bros.	PG	$1,755,212	222,460	Romantic-Comedy
16	Housefull	2010-04-30	Eros Entertainment	Not Rated	$1,183,658	150,020	Romantic-Comedy
17	I Hate Luv Storys	2010-07-02	UTV Communications	Not Rated	$847,993	107,476	Romantic-Comedy
18	Aisha	2010-08-06	Viva Entertainment	Not Rated	$298,431	37,823	Romantic-Comedy
19	Fei Cheng Wu Rao 2	2010-12-24	China Lion Film D…	Not Rated	$182,517	23,132	Romantic-Comedy
20	De Mai Tinh	2010-09-10	Variance Films	PG-13	$165,987	21,037	Romantic-Comedy
21	The Good Guy	2010-02-19	Roadside Attractions	R	$100,688	12,761	Romantic-Comedy
22	Feed the Fish	2010-04-23	Strand	Not Rated	$84,085	10,657	Romantic-Comedy
23	The People I've Slept With	2010-08-13	People Pictures	Not Rated	$19,137	2,425	Romantic-Comedy
24	16 to Life	2010-09-03	Waterdog Films	Not Rated	$11,574	1,466	Romantic-Comedy
25	The Freebie	2010-09-17	Phase 4 Films	R	$8,300	1,051	Romantic-Comedy
26	BearCity	2010-10-22	TLA Releasing	Not Rated	$5,980	757	Romantic-Comedy
27	Speed-Dating	2010-06-04	Rockstone Releasing	R	$3,394	430	Romantic-Comedy
28	White On Rice	2009-09-11	Variance Films	PG-13	$1,985	251	Romantic-Comedy
29	Un baiser s'il vous plaît	2009-03-27	Music Box Films	Not Rated	$814	103	Romantic-Comedy
30	Tru Loved	2008-10-17	Regent Releasing	R	$275	34	Romantic-Comedy
1	Just Go With It	2011-02-11	Sony Pictures	PG-13	$103,028,109	12,992,195	Romantic-Comedy
2	Zookeeper	2011-07-08	Sony Pictures	PG	$80,360,866	10,133,778	Romantic-Comedy
3	No Strings Attached	2011-01-21	Paramount Pictures	R	$70,662,220	8,910,747	Romantic-Comedy
4	Midnight in Paris	2011-05-20	Sony Pictures Cla…	PG-13	$56,377,732	7,109,423	Romantic-Comedy
5	Friends with Benefits	2011-07-22	Sony Pictures	R	$55,802,754	7,036,917	Romantic-Comedy
6	New Year’s Eve	2011-12-09	Warner Bros.	PG-13	$47,257,823	5,959,372	Romantic-Comedy
7	Something Borrowed	2011-05-06	Warner Bros.	PG-13	$39,046,489	4,923,895	Romantic-Comedy
8	Jumping the Broom	2011-05-06	Sony Pictures	PG-13	$37,295,394	4,703,076	Romantic-Comedy
9	Larry Crowne	2011-07-01	Universal	PG-13	$35,608,245	4,490,321	Romantic-Comedy
10	Arthur	2011-04-08	Warner Bros.	PG-13	$33,035,397	4,165,876	Romantic-Comedy
11	Monte Carlo	2011-07-01	20th Century Fox	PG	$23,186,769	2,923,931	Romantic-Comedy
12	What's Your Number?	2011-09-30	20th Century Fox	R	$14,011,084	1,766,845	Romantic-Comedy
13	How Do You Know?	2010-12-17	Sony Pictures	R	$5,171,726	652,172	Romantic-Comedy
14	From Prada to Nada	2011-01-28	Lionsgate	PG-13	$3,033,623	382,550	Romantic-Comedy
15	The Art of Getting By	2011-06-17	Fox Searchlight	PG-13	$1,430,241	180,358	Romantic-Comedy
16	No Eres Tu, Soy Yo	2011-04-08	Lionsgate	PG-13	$1,339,911	168,967	Romantic-Comedy
17	The Heart Specialist	2011-01-14	Freestyle Releasing	R	$1,103,037	139,096	Romantic-Comedy
18	Mere Brother Ki Dulhan	2011-09-09	Yash Raj Films	Not Rated	$496,172	62,568	Romantic-Comedy
19	Life as We Know It	2010-10-08	Warner Bros.	PG-13	$488,173	61,560	Romantic-Comedy
20	Joueuse	2011-04-01	Zeitgeist	Not Rated	$478,710	60,366	Romantic-Comedy
21	Jihne Mera Dil Luteya	2011-07-29	Viva Entertainment	Not Rated	$464,840	58,617	Romantic-Comedy
22	Thank You	2011-04-08	UTV Communications	Not Rated	$463,540	58,453	Romantic-Comedy
23	Happythankyoumoreplease	2011-03-04	Anchor Bay Entert…	R	$216,110	27,252	Romantic-Comedy
24	La Bonheur des autres	2011-10-07	Entertainment One	Not Rated	$162,303	20,466	Romantic-Comedy
25	35 and Ticking	2011-05-20	Image Entertainment	R	$113,804	14,351	Romantic-Comedy
26	When Harry Tries to Marry	2011-04-22	108 Pics	PG-13	$38,261	4,824	Romantic-Comedy
27	Love in Space	2011-09-09	China Lion Film D…	PG	$33,976	4,284	Romantic-Comedy
28	Waiting for Forever	2011-02-04	Freestyle Releasing	PG-13	$25,517	3,217	Romantic-Comedy
29	Ceremony	2011-04-08	Magnolia Pictures	R	$22,270	2,808	Romantic-Comedy
30	All’s Faire in Love	2011-10-28	Hannover House	PG	$22,180	2,796	Romantic-Comedy
31	Griff the Invisible	2011-08-19	Indomina Releasing	PG-13	$20,778	2,620	Romantic-Comedy
32	Feed the Fish	2010-04-23	Strand	Not Rated	$17,085	2,154	Romantic-Comedy
33	A Bird of the Air	2011-09-23	Paladin	PG-13	$10,152	1,280	Romantic-Comedy
34	Chalet Girl	2011-10-14	IFC Films	R	$1,710	216	Romantic-Comedy
1	Think Like a Man	2012-04-20	Sony Pictures	PG-13	$91,547,205	11,500,905	Romantic-Comedy
2	Hope Springs	2012-08-08	Sony Pictures	PG-13	$63,536,011	7,981,910	Romantic-Comedy
3	This Means War	2012-02-17	20th Century Fox	PG-13	$54,760,791	6,879,496	Romantic-Comedy
4	What to Expect When You're …	2012-05-18	Lionsgate	PG-13	$41,152,203	5,169,874	Romantic-Comedy
5	The Five-Year Engagement	2012-04-27	Universal	R	$28,700,285	3,605,563	Romantic-Comedy
6	To Rome with Love	2012-06-22	Sony Pictures Cla…	R	$16,684,352	2,096,024	Romantic-Comedy
7	Playing for Keeps	2012-12-07	FilmDistrict	PG-13	$12,851,597	1,614,522	Romantic-Comedy
8	New Year’s Eve	2011-12-09	Warner Bros.	PG-13	$7,286,815	915,429	Romantic-Comedy
9	Friends with Kids	2012-03-09	Roadside Attractions	R	$7,251,073	910,938	Romantic-Comedy
10	Celeste and Jesse Forever	2012-08-03	Sony Pictures Cla…	R	$3,103,407	389,875	Romantic-Comedy
11	Barfi	2012-09-14	UTV Communications	Not Rated	$2,804,874	352,371	Romantic-Comedy
12	Ruby Sparks	2012-07-25	Fox Searchlight	R	$2,540,106	319,108	Romantic-Comedy
13	Hysteria	2012-05-18	Sony Pictures Cla…	R	$1,804,139	226,650	Romantic-Comedy
14	Ek Main Aur Ekk Tu	2012-02-10	UTV Communications	Not Rated	$1,155,545	145,168	Romantic-Comedy
15	Cocktail	2012-07-13	Eros Entertainment	Not Rated	$1,027,121	129,035	Romantic-Comedy
16	Teri Meri Kahaani	2012-06-22	Eros Entertainment	Not Rated	$671,442	84,352	Romantic-Comedy
17	2 Days in New York	2012-08-10	Magnolia Pictures	R	$633,210	79,548	Romantic-Comedy
18	Midnight in Paris	2011-05-20	Sony Pictures Cla…	PG-13	$438,930	55,141	Romantic-Comedy
19	Student of the Year	2012-10-19	Eros Entertainment	Not Rated	$326,508	41,018	Romantic-Comedy
20	Tere Naal Love Ho Gaya	2012-02-24	UTV Communications	Not Rated	$177,743	22,329	Romantic-Comedy
21	Jodi Breakers	2012-02-24	Yash Raj Films	Not Rated	$52,618	6,610	Romantic-Comedy
22	Aiyyaa	2012-10-11	UTV Communications	Not Rated	$36,967	4,644	Romantic-Comedy
23	The First Time	2012-10-19	Samuel Goldwyn Films	PG-13	$22,836	2,868	Romantic-Comedy
24	Take Me Home	2012-04-06	Monterey Media	PG-13	$15,374	1,931	Romantic-Comedy
25	A Little Bit of Heaven	2012-05-04	Alchemy	PG-13	$10,011	1,257	Romantic-Comedy
26	The Giant Mechanical Man	2012-04-27	TriBeca Films	PG-13	$7,396	929	Romantic-Comedy
27	Save the Date	2012-12-14	IFC Films	R	$5,719	718	Romantic-Comedy
28	Tonight You're Mine	2012-05-11	Roadside Attractions	R	$4,321	542	Romantic-Comedy
29	Vamps	2012-11-02	Anchor Bay Entert…	PG-13	$3,361	422	Romantic-Comedy
30	Cheerful Weather for the We…	2012-12-07	IFC Films	PG	$2,651	333	Romantic-Comedy
1	Warm Bodies	2013-02-01	Lionsgate	PG-13	$66,380,662	8,164,903	Romantic-Comedy
2	Don Jon	2013-09-27	Relativity	R	$24,475,193	3,010,478	Romantic-Comedy
3	The Big Wedding	2013-04-26	Lionsgate	R	$21,819,348	2,683,806	Romantic-Comedy
4	Baggage Claim	2013-09-27	Fox Searchlight	PG-13	$21,569,509	2,653,076	Romantic-Comedy
5	Admission	2013-03-22	Focus Features	PG-13	$18,007,317	2,214,922	Romantic-Comedy
6	About Time	2013-11-01	Universal	R	$15,323,921	1,884,861	Romantic-Comedy
7	Pulling Strings	2013-10-04	Lionsgate	PG	$5,842,961	718,691	Romantic-Comedy
8	Chennai Express	2013-08-08	UTV Communications	Not Rated	$5,307,960	652,885	Romantic-Comedy
9	Much Ado About Nothing	2013-06-07	Roadside Attractions	PG-13	$4,328,850	532,453	Romantic-Comedy
10	Austenland	2013-08-16	Sony Pictures Cla…	PG-13	$2,137,573	262,924	Romantic-Comedy
11	Den skaldede frisør	2013-05-03	Sony Pictures Cla…	R	$1,631,306	200,652	Romantic-Comedy
12	Besharam	2013-10-02	Reliance Big Pict…	Not Rated	$388,915	47,837	Romantic-Comedy
13	Shuddh Desi Romance	2013-09-06	Yash Raj Films	Not Rated	$366,000	45,018	Romantic-Comedy
14	Playing for Keeps	2012-12-07	FilmDistrict	PG-13	$251,675	30,956	Romantic-Comedy
15	Upside Down	2013-03-15	Alchemy	PG-13	$102,118	12,560	Romantic-Comedy
16	Jewtopia	2013-09-20	Le Petit Canyon P…	Not Rated	$46,437	5,711	Romantic-Comedy
17	I Give It a Year	2013-08-09	Magnolia Pictures	R	$34,657	4,262	Romantic-Comedy
