Rank	Movie	Release Date	Theatrical Distributor	MPAA Rating	Gross	Tickets Sold	Gender
12	Collateral Damage	2002-02-08	Warner Bros.	R	$40,048,332	6,893,000	Action
13	K-19: The Widowmaker	2002-07-19	Paramount Pictures	PG-13	$35,168,966	6,053,178	Action
14	I Spy	2002-11-01	Sony Pictures	PG-13	$33,105,600	5,698,037	Action
15	Bad Company	2002-06-07	Walt Disney	PG-13	$30,157,016	5,190,536	Action
16	The Transporter	2002-10-11	20th Century Fox	PG-13	$25,283,880	4,351,786	Action
17	Rollerball	2002-02-08	MGM	PG-13	$18,990,542	3,268,595	Action
18	Half Past Dead	2002-11-15	Sony Pictures	PG-13	$15,374,912	2,646,284	Action
19	Ballistic: Ecks vs. Sever	2002-09-20	Warner Bros.	R	$14,294,842	2,460,385	Action
20	Le pacte des loups	2001-06-01		R	$10,527,229	1,811,915	Action
21	Formula 51	2002-10-18	Screen Media Films	R	$5,204,007	895,698	Action
22	Behind Enemy Lines	2001-11-30	20th Century Fox	PG-13	$5,148,245	886,100	Action
23	Extreme Ops	2002-11-27	Paramount Pictures	PG-13	$4,808,772	827,671	Action
24	State Property	2002-01-18	Lionsgate	R	$2,099,719	361,397	Action
25	Equilibrium	2002-12-06	Miramax/Dimension	R	$1,190,018	204,822	Action
26	Spy Game	2001-11-21	Universal	R	$909,045	156,462	Action
27	Metropolis	1927-03-06	Paramount Pictures	Not Rated	$583,182	100,375	Action
28	Shichinin no samurai	1956-11-19	Cowboy Pictures	Not Rated	$183,443	31,573	Action
29	Snipes	2002-09-04		R	$66,339	11,418	Action
30	Master of the Flying Guillo…	2002-05-24		R	$20,665	3,556	Action
31	Outta Time	2002-04-12		R	$4,052	697	Action
32	Bangkok Dangerous	2001-10-19	First Look	R	$3,624	623	Action
1	The Matrix Reloaded	2003-05-15	Warner Bros.	R	$281,553,689	46,692,154	Action
2	X-Men 2	2003-05-02	20th Century Fox	PG-13	$214,949,694	35,646,715	Action
3	Terminator 3: Rise of the M…	2003-07-01	Warner Bros.	R	$150,358,296	24,935,040	Action
4	Bad Boys II	2003-07-18	Sony Pictures	R	$138,540,870	22,975,268	Action
5	The Matrix Revolutions	2003-11-05	Warner Bros.	R	$138,294,428	22,934,399	Action
6	Hulk	2003-06-20	Universal	PG-13	$132,177,234	21,919,939	Action
7	2 Fast 2 Furious	2003-06-06	Universal	PG-13	$127,120,058	21,081,269	Action
8	S.W.A.T.	2003-08-08	Sony Pictures	PG-13	$116,877,597	19,382,686	Action
9	Daredevil	2003-02-14	20th Century Fox	PG-13	$102,543,518	17,005,558	Action
10	Charlie's Angels: Full Thro…	2003-06-27	Sony Pictures	PG-13	$100,814,328	16,718,794	Action
11	The Last Samurai	2003-12-05	Warner Bros.	R	$90,017,337	14,928,248	Action
12	Kill Bill: Volume 1	2003-10-10	Miramax	R	$69,655,060	11,551,419	Action
13	Once Upon a Time in Mexico	2003-09-12	Sony Pictures	R	$56,330,657	9,341,734	Action
14	Underworld	2003-09-19	Sony Pictures	R	$51,892,664	8,605,748	Action
15	The Rundown	2003-09-26	Universal	PG-13	$47,641,743	7,900,786	Action
16	Tears of the Sun	2003-03-07	Sony Pictures	R	$43,632,458	7,235,896	Action
17	National Security	2003-01-17	Sony Pictures	PG-13	$36,288,951	6,018,068	Action
18	Cradle 2 the Grave	2003-02-28	Warner Bros.	R	$34,657,731	5,747,550	Action
19	The Hunted	2003-03-14	Paramount Pictures	R	$34,234,008	5,677,281	Action
20	The Core	2003-03-28	Paramount Pictures	PG-13	$31,111,260	5,159,412	Action
21	Hollywood Homicide	2003-06-13	Sony Pictures	PG-13	$30,207,785	5,009,582	Action
22	A Man Apart	2003-04-04	New Line	R	$26,500,000	4,394,693	Action
23	Bulletproof Monk	2003-04-16	MGM	PG-13	$23,010,607	3,816,021	Action
24	The Medallion	2003-08-22	Sony Pictures	PG-13	$22,108,977	3,666,497	Action
25	Biker Boyz	2003-01-31	Dreamworks SKG	PG-13	$21,908,034	3,633,173	Action
26	Die Another Day	2002-11-22	MGM	PG-13	$7,171,314	1,189,272	Action
27	Cowboy Bebop	2003-04-04	Sony Pictures	R	$999,435	165,743	Action
28	I Spy	2002-11-01	Sony Pictures	PG-13	$455,537	75,545	Action
29	The Legend of Suriyothai	2003-06-20		R	$454,255	75,332	Action
30	The Tuxedo	2002-09-27	Dreamworks SKG	PG-13	$396,821	65,807	Action
31	Khushi	2003-01-31		Not Rated	$305,205	50,614	Action
32	Steal	2003-04-25		Not Rated	$220,944	36,640	Action
33	Half Past Dead	2002-11-15	Sony Pictures	PG-13	$192,948	31,998	Action
34	Shichinin no samurai	1956-11-19	Cowboy Pictures	Not Rated	$88,293	14,642	Action
35	The Princess Blade	2003-08-08	ADV Films	R	$69,386	11,506	Action
36	Metropolis	1927-03-06	Paramount Pictures	Not Rated	$67,240	11,150	Action
37	Extreme Ops	2002-11-27	Paramount Pictures	PG-13	$27,196	4,510	Action
38	Fulltime Killer	2003-03-20		Not Rated	$14,992	2,486	Action
39	The Transporter	2002-10-11	20th Century Fox	PG-13	$12,567	2,084	Action
1	I, Robot	2004-07-16	20th Century Fox	PG-13	$144,801,023	23,317,395	Action
2	Troy	2004-05-14	Warner Bros.	R	$133,298,577	21,465,149	Action
3	Van Helsing	2004-05-07	Universal	PG-13	$120,150,546	19,347,914	Action
4	Collateral	2004-08-06	Dreamworks SKG	R	$100,170,152	16,130,459	Action
5	AVP: Alien Vs. Predator	2004-08-13	20th Century Fox	PG-13	$80,281,096	12,927,712	Action
6	Kill Bill: Volume 2	2004-04-16	Miramax	R	$66,207,920	10,661,500	Action
7	Hellboy	2004-04-02	Sony Pictures	PG-13	$59,623,958	9,601,281	Action
8	Jet Li's Hero	2004-08-27	Miramax	PG-13	$53,652,140	8,639,636	Action
9	Blade: Trinity	2004-12-08	New Line	R	$48,079,939	7,742,341	Action
10	Walking Tall	2004-04-02	MGM	PG-13	$46,213,824	7,441,839	Action
