Rank	Movie	Release Date	Theatrical Distributor	MPAA Rating	Gross	Tickets Sold	Gender
3	Salt	2010-07-23	Sony Pictures	PG-13	$118,311,368	14,995,104	Thriller-or-Suspense
4	The Town	2010-09-17	Warner Bros.	R	$92,173,235	11,682,286	Thriller-or-Suspense
5	Takers	2010-08-27	Sony Pictures	PG-13	$57,744,720	7,318,722	Thriller-or-Suspense
6	The Tourist	2010-12-10	Sony Pictures	PG-13	$54,633,191	6,924,359	Thriller-or-Suspense
7	Black Swan	2010-12-03	Fox Searchlight	R	$47,807,791	6,059,289	Thriller-or-Suspense
8	Edge of Darkness	2010-01-29	Warner Bros.	R	$43,313,890	5,489,720	Thriller-or-Suspense
9	The American	2010-09-01	Focus Features	R	$35,606,376	4,512,848	Thriller-or-Suspense
10	Brooklyn's Finest	2010-03-05	Overture Films	R	$27,163,593	3,442,787	Thriller-or-Suspense
11	From Paris With Love	2010-02-05	Lionsgate	R	$24,077,427	3,051,638	Thriller-or-Suspense
12	Skyline	2010-11-12	Universal	PG-13	$21,416,355	2,714,367	Thriller-or-Suspense
13	The Next Three Days	2010-11-19	Lionsgate	PG-13	$21,129,348	2,677,990	Thriller-or-Suspense
14	The Ghost Writer	2010-02-19	Summit Entertainment	PG-13	$15,541,549	1,969,778	Thriller-or-Suspense
15	Let Me In	2010-10-01	Overture Films	R	$12,134,935	1,538,015	Thriller-or-Suspense
16	Män som hatar kvinnor	2009-05-29	Alliance Atlantis	R	$10,561,224	1,338,558	Thriller-or-Suspense
17	Flickan som lekte med elden	2009-12-25		R	$8,480,758	1,074,874	Thriller-or-Suspense
18	El secreto de sus ojos	2010-04-16	Sony Pictures Cla…	R	$6,391,436	810,067	Thriller-or-Suspense
19	Luftslottet som sprängdes	2010-04-30	Alliance Atlantis	R	$5,273,085	668,325	Thriller-or-Suspense
20	Chloe	2010-03-26	Sony Pictures Cla…	R	$3,075,255	389,766	Thriller-or-Suspense
21	Los abrazos rotos	2009-11-20	Sony Pictures Cla…	R	$2,991,650	379,169	Thriller-or-Suspense
22	N-Secure	2010-10-15	Freestyle Releasing	R	$2,595,644	328,978	Thriller-or-Suspense
23	Harry Brown	2010-04-30	Samuel Goldwyn Films	R	$1,818,681	230,504	Thriller-or-Suspense
