Rank	Movie	Release Date	Theatrical Distributor	MPAA Rating	Gross	Tickets Sold	Gender
34	2001: A Space Odyssey	1968-04-02	MGM	G	$239,621	42,336	Adventure
35	Kirikou and the Sorceress	2000-02-18	ArtMattan Films	Not Rated	$4,299	759	Adventure
1	Spider-Man	2002-05-03	Sony Pictures	PG-13	$403,706,375	69,484,746	Adventure
2	Star Wars Ep. II: Attack of…	2002-05-16	20th Century Fox	PG	$310,676,740	53,472,760	Adventure
3	The Lord of the Rings: The …	2002-12-18	New Line	PG-13	$262,300,833	45,146,442	Adventure
4	Harry Potter and the Chambe…	2002-11-15	Warner Bros.	PG	$252,289,446	43,423,312	Adventure
5	Ice Age	2002-03-15	20th Century Fox	PG	$176,387,405	30,359,277	Adventure
6	Scooby-Doo	2002-06-14	Warner Bros.	PG	$153,294,164	26,384,537	Adventure
7	Lilo & Stitch	2002-06-21	Walt Disney	PG	$145,771,527	25,089,763	Adventure
8	The Santa Clause 2	2002-11-01	Walt Disney	G	$138,277,797	23,799,965	Adventure
9	The Lord of the Rings: The …	2001-12-19	New Line	PG-13	$107,854,245	18,563,553	Adventure
10	Spy Kids 2: The Island of L…	2002-08-07	Miramax/Dimension	PG	$85,570,368	14,728,118	Adventure
11	Snow Dogs	2002-01-18	Walt Disney	PG	$81,150,692	13,967,416	Adventure
12	Spirit: Stallion of the Cim…	2002-05-24	Dreamworks SKG	G	$73,215,310	12,601,602	Adventure
13	Stuart Little 2	2002-07-19	Sony Pictures	PG	$64,956,806	11,180,173	Adventure
14	The Time Machine	2002-03-08	Dreamworks SKG	PG-13	$56,684,819	9,756,423	Adventure
15	The Count of Monte Cristo	2002-01-25	Walt Disney	PG-13	$54,228,104	9,333,580	Adventure
16	Like Mike	2002-07-03	20th Century Fox	PG	$51,432,423	8,852,396	Adventure
17	Peter Pan: Return to Neverland	2002-02-15	Walt Disney	G	$48,430,258	8,335,672	Adventure
18	Big Fat Liar	2002-02-08	Universal	PG	$47,811,275	8,229,135	Adventure
19	The Master of Disguise	2002-08-02	Sony Pictures	PG	$40,363,530	6,947,251	Adventure
20	Star Trek: Nemesis	2002-12-13	Paramount Pictures	PG-13	$39,825,707	6,854,682	Adventure
21	Clockstoppers	2002-03-29	Paramount Pictures	PG	$36,985,501	6,365,834	Adventure
22	Treasure Planet	2002-11-27	Walt Disney	PG	$35,820,872	6,165,382	Adventure
23	The Wild Thornberrys Movie	2002-12-20	Paramount Pictures	PG	$31,752,651	5,465,172	Adventure
24	The Crocodile Hunter: Colli…	2002-07-12	MGM	PG	$28,436,931	4,894,480	Adventure
25	Jonah: A VeggieTales Movie	2002-10-04	Artisan	G	$25,408,198	4,373,183	Adventure
26	Jimmy Neutron: Boy Genius	2001-12-21	Paramount Pictures	G	$18,597,143	3,200,885	Adventure
27	Harry Potter and the Sorcer…	2001-11-16	Warner Bros.	PG	$17,171,116	2,955,441	Adventure
28	The Country Bears	2002-07-26	Walt Disney	G	$16,988,996	2,924,095	Adventure
29	Hey Arnold! The Movie	2002-06-28	Paramount Pictures	PG	$13,684,949	2,355,412	Adventure
30	The Powerpuff Girls	2002-07-03	Warner Bros.	PG	$11,411,644	1,964,138	Adventure
31	Monsters, Inc.	2001-11-02	Walt Disney	G	$11,234,792	1,933,699	Adventure
32	Sen to Chihiro no Kamikakushi	2002-09-20	Walt Disney	PG	$5,462,320	940,158	Adventure
33	The Lion King	1994-06-15	Walt Disney	G	$5,022,506	864,458	Adventure
34	T-Rex: Back to the Cretaceous	1998-10-23	IMAX Films	Not Rated	$4,301,999	740,447	Adventure
35	Spider-Man/Men in Black II …	2002-09-06	Sony Pictures	PG-13	$4,052,137	697,441	Adventure
36	Pinocchio	2002-12-25	Miramax	G	$3,364,522	579,091	Adventure
37	Haunted Castle	2001-03-02	nWave Pictures	PG	$2,246,943	386,737	Adventure
38	Santa vs. The Snowman	2002-11-06	IMAX Films	Not Rated	$1,918,068	330,132	Adventure
39	Pokemon 4Ever	2002-10-11	Miramax	G	$1,732,301	298,158	Adventure
40	Black Knight	2001-11-21	20th Century Fox	PG-13	$1,480,102	254,750	Adventure
41	Cyberworld 3D	2000-10-06	IMAX Films	Not Rated	$714,586	122,992	Adventure
42	Metropolis	2002-01-01	Sony Pictures	PG-13	$673,414	115,906	Adventure
43	Alien Adventure	2000-04-14	nWave Pictures	Not Rated	$316,045	54,396	Adventure
44	Planet of the Apes	2001-07-27	20th Century Fox	PG-13	$170,202	29,294	Adventure
45	Across The Sea of Time	1995-10-20	Sony Pictures Cla…	G	$143,710	24,734	Adventure
46	Max Keeble's Big Move	2001-10-05	Walt Disney	PG	$143,477	24,694	Adventure
47	Hansel & Gretel	2002-10-18		PG	$100,477	17,293	Adventure
48	Steel Spirit	2002-01-11	Cinema Guild	Not Rated	$1,860	320	Adventure
1	Finding Nemo	2003-05-30	Walt Disney	G	$339,714,367	56,337,374	Adventure
2	Pirates of the Caribbean: T…	2003-07-09	Walt Disney	PG-13	$305,410,819	50,648,560	Adventure
3	The Lord of the Rings: The …	2003-12-17	New Line	PG-13	$290,425,213	48,163,385	Adventure
4	Spy Kids 3-D: Game Over	2003-07-25	Miramax/Dimension	PG	$111,678,621	18,520,500	Adventure
5	The Italian Job	2003-05-30	Paramount Pictures	PG-13	$106,126,012	17,599,670	Adventure
6	Dr. Seuss’ The Cat in the H…	2003-11-21	Universal	PG	$99,383,495	16,481,508	Adventure
7	Brother Bear	2003-10-24	Walt Disney	G	$83,297,298	13,813,813	Adventure
8	Master and Commander: The F…	2003-11-14	20th Century Fox	PG-13	$83,006,144	13,765,529	Adventure
9	The Lord of the Rings: The …	2002-12-18	New Line	PG-13	$79,483,544	13,181,350	Adventure
10	The Haunted Mansion	2003-11-26	Walt Disney	PG	$70,422,751	11,678,731	Adventure
11	Holes	2003-04-18	Walt Disney	PG	$67,383,924	11,174,780	Adventure
12	Kangaroo Jack	2003-01-17	Warner Bros.	PG	$66,723,216	11,065,209	Adventure
13	The League of Extraordinary…	2003-07-11	20th Century Fox	PG-13	$66,465,204	11,022,421	Adventure
14	Lara Croft: Tomb Raider: Th…	2003-07-25	Paramount Pictures	PG-13	$65,653,758	10,887,853	Adventure
15	The Jungle Book 2	2003-02-14	Walt Disney	G	$47,901,582	7,943,877	Adventure
16	Agent Cody Banks	2003-03-14	MGM	PG	$47,545,060	7,884,752	Adventure
17	The Lizzie McGuire Movie	2003-05-02	Walt Disney	PG	$42,734,455	7,086,974	Adventure
18	Rugrats Go Wild	2003-06-13	Paramount Pictures	PG	$39,402,572	6,534,423	Adventure
19	Good Boy!	2003-10-10	MGM	PG	$37,666,266	6,246,478	Adventure
